Order,Time,Type,Symbol,Price,,End Time,End Price,Profit
123576130,2024.08.16 11:43:54,sell,eurusd,1.0984,,2024.08.27 17:28:36,1.11699,-1859
123731997,2024.08.19 07:07:56,buy,eurusd,1.10398,,2024.08.27 17:28:36,1.11699,1302
123761893,2024.08.19 14:18:36,buy,eurusd,1.10356,,2024.08.27 17:28:36,1.11699,1343
123761894,2024.08.19 14:18:36,sell,eurusd,1.10356,,2024.08.27 17:28:36,1.11699,-1344
124333198,2024.08.22 16:48:20,buy,audusd,0.67189,,2024.08.28 04:13:59,0.67879,690
124480826,2024.08.23 17:01:04,sell,audusd,0.67462,,2024.08.28 04:30:09,0.67892,-430
124486769,2024.08.23 17:10:00,buy,usdcad,1.35346,,2024.08.28 04:30:09,1.34474,-648.45
124497335,2024.08.23 17:33:48,sell,gbpusd,1.32047,,2024.08.27 15:45:01,1.32078,-31
124501128,2024.08.23 17:45:20,sell,usdcad,1.35115,,,,
124516049,2024.08.23 18:47:56,buy,gbpusd,1.32026,,2024.08.28 15:43:45,1.32072,46
124529443,2024.08.23 20:16:17,sell,eurjpy,161.871,,2024.08.27 16:30:26,161.083,545.74
124530160,2024.08.23 20:23:29,buy,xauusd,2511.1,,2024.08.27 15:55:29,2511.52,42
124539269,2024.08.23 21:54:56,sell,xauusd,2511.25,,2024.08.27 15:47:11,2508.6,265
124543096,2024.08.23 23:29:22,buy,eurjpy,161.482,,2024.08.27 15:05:12,161.256,-156.45
124722576,2024.08.27 15:07:55,buy,eurjpy,161.227,,2024.08.27 15:08:30,161.24,9
124722657,2024.08.27 15:09:07,buy,eurjpy,161.211,,2024.08.27 15:26:19,161.238,18.68
124724308,2024.08.27 15:27:00,buy,eurjpy,161.209,,2024.08.27 15:39:53,161.093,-80.34
124725691,2024.08.27 15:40:52,buy,eurjpy,161.124,,2024.08.27 17:00:57,161.306,125.99
124726157,2024.08.27 15:45:06,sell,gbpusd,1.32107,,2024.08.27 21:35:11,1.32604,-497
124726366,2024.08.27 15:48:27,sell,xauusd,2508.19,,2024.08.27 16:45:01,2510.77,-258
124727157,2024.08.27 15:55:30,buy,xauusd,2511.03,,2024.08.27 16:05:58,2511.47,44
124728734,2024.08.27 16:06:04,buy,xauusd,2510.9,,2024.08.27 16:06:55,2511.15,25
124728876,2024.08.27 16:07:03,buy,xauusd,2510.67,,2024.08.27 16:08:34,2510.79,12
124729070,2024.08.27 16:08:53,buy,xauusd,2511.2,,2024.08.27 16:10:34,2509.67,-153
124729235,2024.08.27 16:10:45,buy,xauusd,2509.08,,2024.08.27 16:14:32,2507.66,-142
124730129,2024.08.27 16:15:40,buy,xauusd,2507.81,,2024.08.27 16:16:49,2508.65,84
124730306,2024.08.27 16:17:08,buy,xauusd,2508.07,,2024.08.27 16:17:28,2508.42,35
124730402,2024.08.27 16:18:27,buy,xauusd,2507.95,,2024.08.27 16:18:38,2507.98,3
124730468,2024.08.27 16:19:07,buy,xauusd,2507.06,,2024.08.27 16:19:57,2506.91,-15
124730676,2024.08.27 16:20:19,buy,xauusd,2506.57,,2024.08.27 16:20:23,2506.45,-12
124730722,2024.08.27 16:20:32,buy,xauusd,2505.88,,2024.08.27 16:22:39,2507.56,168
124730989,2024.08.27 16:22:40,buy,xauusd,2507.1,,2024.08.27 16:23:18,2507.19,9
124731066,2024.08.27 16:23:19,buy,xauusd,2506.7,,2024.08.27 16:24:55,2506.77,7
124731348,2024.08.27 16:26:02,buy,xauusd,2505.5,,2024.08.27 16:26:46,2505.43,-7
124731458,2024.08.27 16:26:57,buy,xauusd,2504.95,,2024.08.27 16:27:02,2504.55,-40
124731525,2024.08.27 16:27:08,buy,xauusd,2504.05,,2024.08.27 16:27:18,2504.63,58
124731585,2024.08.27 16:27:23,buy,xauusd,2504.08,,2024.08.27 16:28:21,2505.44,136
124731784,2024.08.27 16:29:04,buy,xauusd,2505.85,,2024.08.27 16:30:02,2506.54,69
