Order,Time,Type,Size,Symbol,Price,End Time,End Price
123576130,2024.08.16 11:43:54,sell,1.00,eurusd,1.09840,2024.08.18 17:28:36,1.11699
123731997,2024.08.19 07:07:56,buy,1.00,eurusd,1.10398,2024.08.19 17:28:36,1.11699
123761893,2024.08.19 14:18:36,buy,1.00,eurusd,1.10356,2024.08.27 17:28:36,1.11699
123761894,2024.08.19 14:18:36,sell,1.00,eurusd,1.10356,2024.08.27 17:28:36,1.11699
124333198,2024.08.22 16:48:20,buy,1.00,audusd,0.67189,2024.08.28 04:13:59,0.67879
124480826,2024.08.23 17:01:04,sell,1.00,audusd,0.67462,2024.08.28 04:30:09,0.67892
124486769,2024.08.23 17:10:00,buy,1.00,usdcad,1.35346,2024.08.28 04:30:09,1.34474
124497335,2024.08.23 17:33:48,sell,1.00,gbpusd,1.32047,2024.08.27 15:45:01,1.32078
124501128,2024.08.23 17:45:20,sell,1.00,usdcad,1.35115,2024.08.30 15:30:18,1.34685
124516049,2024.08.23 18:47:56,buy,1.00,gbpusd,1.32026,2024.08.28 15:43:45,1.32072
124529443,2024.08.23 20:16:17,sell,1.00,eurjpy,161.871,2024.08.27 16:30:26,161.083
124530160,2024.08.23 20:23:29,buy,1.00,xauusd,2511.10,2024.08.27 15:55:29,2511.52
124539269,2024.08.23 21:54:56,sell,1.00,xauusd,2511.25,2024.08.27 15:47:11,2508.60
124543096,2024.08.23 23:29:22,buy,1.00,eurjpy,161.482,2024.08.27 15:05:12,161.256
124722576,2024.08.27 15:07:55,buy,1.00,eurjpy,161.227,2024.08.27 15:08:30,161.240
124722657,2024.08.27 15:09:07,buy,1.00,eurjpy,161.211,2024.08.27 15:26:19,161.238
124724308,2024.08.27 15:27:00,buy,1.00,eurjpy,161.209,2024.08.27 15:39:53,161.093
124725691,2024.08.27 15:40:52,buy,1.00,eurjpy,161.124,2024.08.27 17:00:57,161.306
124726157,2024.08.27 15:45:06,sell,1.00,gbpusd,1.32107,2024.08.27 21:35:11,1.32587
124726366,2024.08.27 15:48:27,sell,1.00,xauusd,2508.19,2024.08.27 16:45:01,2510.77
124727157,2024.08.27 15:55:30,buy,1.00,xauusd,2511.03,2024.08.27 16:05:58,2511.47
124728734,2024.08.27 16:06:04,buy,1.00,xauusd,2510.90,2024.08.27 16:06:55,2511.15
124728876,2024.08.27 16:07:03,buy,1.00,xauusd,2510.67,2024.08.27 16:08:26,2510.79
124729070,2024.08.27 16:08:53,buy,1.00,xauusd,2511.20,2024.08.27 16:10:33,2509.67
124729235,2024.08.27 16:10:45,buy,1.00,xauusd,2509.08,2024.08.27 16:14:32,2507.66
124730129,2024.08.27 16:15:40,buy,1.00,xauusd,2507.81,2024.08.27 16:16:49,2508.65
